iter	Passed	Remaining
0	1	141
1	2	111
2	3	102
3	3	94
4	4	90
5	5	86
6	6	87
7	7	87
8	8	85
9	9	83
10	10	81
11	10	80
12	11	79
13	12	78
14	13	76
15	14	75
16	15	74
17	16	73
18	17	72
19	17	71
20	18	70
21	19	69
22	20	68
23	21	67
24	22	66
25	23	65
26	23	64
27	24	63
28	25	62
29	26	61
30	27	60
31	27	59
32	28	58
33	29	57
34	30	56
35	31	55
36	31	54
37	32	53
38	33	52
39	34	52
40	35	51
41	35	49
42	36	48
43	37	47
44	38	46
45	39	45
46	39	45
47	40	44
48	41	43
49	42	42
50	43	41
51	44	40
52	44	39
53	45	38
54	46	37
55	46	36
56	47	35
57	48	35
58	49	34
59	50	33
60	50	32
61	51	31
62	52	30
63	53	30
64	54	29
65	55	28
66	56	27
67	56	26
68	57	25
69	58	24
70	59	24
71	59	23
72	60	22
73	61	21
74	62	20
75	63	20
76	64	19
77	65	18
78	65	17
79	66	16
80	67	15
81	68	14
82	69	14
83	69	13
84	70	12
85	71	11
86	72	10
87	73	9
88	73	9
89	74	8
90	75	7
91	76	6
92	76	5
93	77	4
94	78	4
95	79	3
96	80	2
97	80	1
98	81	0
99	82	0
